"Story","Title","Result","Date","Stability","Duration (s)"
"Manage bank account","Search a bank account","FAILURE","2023-02-21T13:28:51.276+08:00[Asia/Shanghai]","0.0","44.76"
"Payments","Application of prepayment full","FAILURE","2023-02-21T13:43:27.923+08:00[Asia/Shanghai]","0.0","474.68"
"Payments","Application of prepayment partial","FAILURE","2023-02-21T14:07:17.24+08:00[Asia/Shanghai]","0.0","458.45"
"Supplier creation","Search a supplier","FAILURE","2023-02-21T15:29:01.023+08:00[Asia/Shanghai]","0.0","52.79"
"Supplier creation","Validate or deactivate a supplier","FAILURE","2023-02-21T15:29:54.591+08:00[Asia/Shanghai]","0.0","53.94"
"Unbilled PO receipts","Matching receipt","FAILURE","2023-02-21T15:34:19.181+08:00[Asia/Shanghai]","0.0","64.6"
"Unbilled PO receipts","Unbilled PO matching receipts","FAILURE","2023-02-21T15:35:24.671+08:00[Asia/Shanghai]","0.0","64.77"
"Unbilled PO receipts","Matching receipt with DA","FAILURE","2023-02-21T15:36:30.214+08:00[Asia/Shanghai]","0.0","61.81"
"Unbilled PO receipts","Matching receipt validate","FAILURE","2023-02-21T15:37:32.848+08:00[Asia/Shanghai]","0.0","65.68"
"Voucher entries","Release retention full","FAILURE","2023-02-21T15:40:01.081+08:00[Asia/Shanghai]","0.0","62.99"
