"Story","Title","Result","Date","Stability","Duration (s)"
"Employees","Search employee","SUCCESS","2023-02-21T13:24:49.418+08:00[Asia/Shanghai]","0.0","58.68"
"Manage bank account","Add a bank account","SUCCESS","2023-02-21T13:25:52.526+08:00[Asia/Shanghai]","0.0","89.06"
"Manage bank account","Edit a bank account","SUCCESS","2023-02-21T13:27:22.351+08:00[Asia/Shanghai]","0.0","88.1"
"Manage bank account","Search a bank account","FAILURE","2023-02-21T13:28:51.276+08:00[Asia/Shanghai]","0.0","44.76"
"Manage bank account","Activate a bank account","SUCCESS","2023-02-21T13:29:36.918+08:00[Asia/Shanghai]","0.0","61.94"
"Manage bank account","Manage bank account using GVAGL bank account","SUCCESS","2023-02-21T13:30:39.661+08:00[Asia/Shanghai]","0.0","222.97"
"Payments","Create voucher entry and manual payment","IGNORED","2023-02-21T13:34:28.747+08:00[Asia/Shanghai]","0.0","0.46"
"Payments","Manual payment partial","SUCCESS","2023-02-21T13:34:29.327+08:00[Asia/Shanghai]","0.0","258.02"
"Payments","Manual payment with multiple documents","ERROR","2023-02-21T13:38:48.217+08:00[Asia/Shanghai]","0.0","278.86"
"Payments","Application of prepayment full","FAILURE","2023-02-21T13:43:27.923+08:00[Asia/Shanghai]","0.0","474.68"
"Payments","Manual payment with negative amount","ERROR","2023-02-21T13:51:23.491+08:00[Asia/Shanghai]","0.0","250.54"
"Payments","Manual payment with zero payments","SUCCESS","2023-02-21T13:55:34.827+08:00[Asia/Shanghai]","0.0","459.43"
"Payments","Manual payment full","SUCCESS","2023-02-21T14:03:15.051+08:00[Asia/Shanghai]","0.0","241.24"
"Payments","Application of prepayment partial","FAILURE","2023-02-21T14:07:17.24+08:00[Asia/Shanghai]","0.0","458.45"
"Pre registration","Pre logging and gl distribution voucher match","ERROR","2023-02-21T14:15:11.839+08:00[Asia/Shanghai]","0.0","105.82"
"Pre registration","Pre logging multi docs","SUCCESS","2023-02-21T14:16:58.426+08:00[Asia/Shanghai]","0.0","226.74"
"Pre registration","Pre logging","SUCCESS","2023-02-21T14:20:45.979+08:00[Asia/Shanghai]","0.0","115.36"
"Pre registration","Pre logging with tax rate rounded","SUCCESS","2023-02-21T14:22:42.158+08:00[Asia/Shanghai]","0.0","128.15"
"Pre registration","Pre logging simple","SUCCESS","2023-02-21T14:24:51.096+08:00[Asia/Shanghai]","0.0","81.85"
"Pre registration","Pre logging with tax rate","SUCCESS","2023-02-21T14:26:13.735+08:00[Asia/Shanghai]","0.0","118.09"
"Redistribution","Pre logging GL distribution current year","SUCCESS","2023-02-21T14:28:16.154+08:00[Asia/Shanghai]","0.0","117.19"
"Redistribution","Pre logging GL distribution prior year","SUCCESS","2023-02-21T14:30:14.171+08:00[Asia/Shanghai]","0.0","125.69"
"Redistribution","Voucher match with tolerance","ERROR","2023-02-21T14:32:20.663+08:00[Asia/Shanghai]","0.0","126.57"
"Review AP entries","Edit voucher entries delete a line","SUCCESS","2023-02-21T14:34:29.756+08:00[Asia/Shanghai]","0.0","320.48"
"Review AP entries","Create manual payment and delete unposted payment","ERROR","2023-02-21T14:39:51.085+08:00[Asia/Shanghai]","0.0","254.73"
"Review AP entries","Clear employee field for GL distribution and voucher entries","SUCCESS","2023-02-21T14:44:08.978+08:00[Asia/Shanghai]","0.0","172.52"
"Review AP entries","Reversal of unposted PO redistribution","SUCCESS","2023-02-21T14:47:02.359+08:00[Asia/Shanghai]","0.0","146.28"
"Review AP entries","Create voucher entry and edit","SUCCESS","2023-02-21T14:49:29.445+08:00[Asia/Shanghai]","0.0","189.27"
"Review AP entries","Edit AP entries","SUCCESS","2023-02-21T14:52:39.524+08:00[Asia/Shanghai]","0.0","171.66"
"Review AP entries","Review voucher AP entries","SUCCESS","2023-02-21T14:55:31.982+08:00[Asia/Shanghai]","0.0","155.62"
"Review AP entries","Search payment","SUCCESS","2023-02-21T14:58:08.415+08:00[Asia/Shanghai]","0.0","58.12"
"Review AP entries","Reversal of unposted voucher match","ERROR","2023-02-21T14:59:07.286+08:00[Asia/Shanghai]","0.0","122.52"
"Review AP entries","Check edit button for voucher entry and redistribute GL","SUCCESS","2023-02-21T15:01:10.568+08:00[Asia/Shanghai]","0.0","244.91"
"Review AP entries","Print payment form","SUCCESS","2023-02-21T15:05:16.285+08:00[Asia/Shanghai]","0.0","95.79"
"Review AP entries","Edit voucher entry line account number","SUCCESS","2023-02-21T15:06:52.829+08:00[Asia/Shanghai]","0.0","242.17"
"Review AP entries","Payment information","SUCCESS","2023-02-21T15:10:55.826+08:00[Asia/Shanghai]","0.0","105.84"
"Review AP entries","Delete voucher AP entry","SUCCESS","2023-02-21T15:12:42.485+08:00[Asia/Shanghai]","0.0","171.44"
"Review AP entries","Create voucher entry and test filter selection","SUCCESS","2023-02-21T15:15:34.713+08:00[Asia/Shanghai]","0.0","248.58"
"Review AP entries","Create voucher entry review and delete","SUCCESS","2023-02-21T15:19:44.069+08:00[Asia/Shanghai]","0.0","204.33"
"Supplier creation","View a supplier","SUCCESS","2023-02-21T15:23:25.872+08:00[Asia/Shanghai]","0.0","70.71"
"Supplier creation","Supplier creation","IGNORED","2023-02-21T15:24:37.34+08:00[Asia/Shanghai]","0.0","0.58"
"Supplier creation","Edit a supplier","SUCCESS","2023-02-21T15:24:38.027+08:00[Asia/Shanghai]","0.0","123.15"
"Supplier creation","Manage bank account","IGNORED","2023-02-21T15:26:41.983+08:00[Asia/Shanghai]","0.0","0.47"
"Supplier creation","Payment terms update","SUCCESS","2023-02-21T15:26:42.559+08:00[Asia/Shanghai]","0.0","137.68"
"Supplier creation","Search a supplier","FAILURE","2023-02-21T15:29:01.023+08:00[Asia/Shanghai]","0.0","52.79"
"Supplier creation","Validate or deactivate a supplier","FAILURE","2023-02-21T15:29:54.591+08:00[Asia/Shanghai]","0.0","53.94"
"Supplier creation","Supplier and supplier master creation","SUCCESS","2023-02-21T15:30:49.308+08:00[Asia/Shanghai]","0.0","98.57"
"Unbilled PO receipts","Close unbilled PO receipt","SUCCESS","2023-02-21T15:32:30.136+08:00[Asia/Shanghai]","0.0","108.27"
"Unbilled PO receipts","Matching receipt","FAILURE","2023-02-21T15:34:19.181+08:00[Asia/Shanghai]","0.0","64.6"
"Unbilled PO receipts","Unbilled PO matching receipts","FAILURE","2023-02-21T15:35:24.671+08:00[Asia/Shanghai]","0.0","64.77"
"Unbilled PO receipts","Matching receipt with DA","FAILURE","2023-02-21T15:36:30.214+08:00[Asia/Shanghai]","0.0","61.81"
"Unbilled PO receipts","Matching receipt validate","FAILURE","2023-02-21T15:37:32.848+08:00[Asia/Shanghai]","0.0","65.68"
"Unbilled PO receipts","Unbilled POCUPR simple","SUCCESS","2023-02-21T15:38:39.283+08:00[Asia/Shanghai]","0.0","80.31"
"Voucher entries","Release retention full","FAILURE","2023-02-21T15:40:01.081+08:00[Asia/Shanghai]","0.0","62.99"
"Voucher entries","Voucher entry without tax rate","SUCCESS","2023-02-21T15:41:04.814+08:00[Asia/Shanghai]","0.0","144.22"
"Voucher entries","Voucher match with positive for adding a line","ERROR","2023-02-21T15:43:29.857+08:00[Asia/Shanghai]","0.0","66.0"
"Voucher entries","Voucher entry with single multiple lines","SUCCESS","2023-02-21T15:44:36.637+08:00[Asia/Shanghai]","0.0","205.85"
"Voucher entries","Checking line reference place holder","SUCCESS","2023-02-21T15:48:03.303+08:00[Asia/Shanghai]","0.0","232.49"
"Voucher entries","Search and post PV","ERROR","2023-02-21T15:51:56.582+08:00[Asia/Shanghai]","0.0","69.1"
"Voucher entries","Voucher entry delete a line","SUCCESS","2023-02-21T15:53:06.506+08:00[Asia/Shanghai]","0.0","196.21"
"Voucher entries","Voucher match with tax","ERROR","2023-02-21T15:56:23.514+08:00[Asia/Shanghai]","0.0","63.27"
"Voucher entries","Partial voucher match","ERROR","2023-02-21T15:57:27.562+08:00[Asia/Shanghai]","0.0","64.02"
"Voucher entries","Voucher match with retention","ERROR","2023-02-21T15:58:32.331+08:00[Asia/Shanghai]","0.0","74.33"
"Voucher entries","Prepayment","IGNORED","2023-02-21T15:59:47.426+08:00[Asia/Shanghai]","0.0","0.49"
"Voucher entries","Voucher entry import CSV file","ERROR","2023-02-21T15:59:48.026+08:00[Asia/Shanghai]","0.0","124.15"
"Voucher entries","Voucher match with negative for adding a line","ERROR","2023-02-21T16:01:52.996+08:00[Asia/Shanghai]","0.0","65.7"
"Voucher entries","Partial voucher match with tax rate","ERROR","2023-02-21T16:02:59.463+08:00[Asia/Shanghai]","0.0","57.03"
"Voucher entries","Voucher entry multi docs","SUCCESS","2023-02-21T16:03:57.277+08:00[Asia/Shanghai]","0.0","337.27"
"Voucher entries","Partial voucher match with negative additional lines","ERROR","2023-02-21T16:09:35.374+08:00[Asia/Shanghai]","0.0","65.46"
"Voucher entries","Simple prepayment","SUCCESS","2023-02-21T16:10:41.65+08:00[Asia/Shanghai]","0.0","88.6"
"Voucher entries","Voucher entry proceed to payment","ERROR","2023-02-21T16:12:11.037+08:00[Asia/Shanghai]","0.0","262.38"
"Voucher entries","Multiple lines with same PO and different item code","ERROR","2023-02-21T16:16:34.239+08:00[Asia/Shanghai]","0.0","69.62"
"Voucher entries","Partial voucher match with retention","ERROR","2023-02-21T16:17:44.631+08:00[Asia/Shanghai]","0.0","107.08"
"Voucher entries","Multiple lines with different PO and different item code","ERROR","2023-02-21T16:19:32.52+08:00[Asia/Shanghai]","0.0","69.1"
"Voucher entries","Create voucher entry using sustainability accounts","SUCCESS","2023-02-21T16:20:42.382+08:00[Asia/Shanghai]","0.0","430.2"
"Voucher entries","Multiple lines with same PO and same item code","ERROR","2023-02-21T16:27:53.659+08:00[Asia/Shanghai]","0.0","72.29"
"Voucher entries","Voucher match with retention and tax","ERROR","2023-02-21T16:29:06.725+08:00[Asia/Shanghai]","0.0","148.93"
"Voucher entries","Multiple lines with different PO and same item code","ERROR","2023-02-21T16:31:36.447+08:00[Asia/Shanghai]","0.0","66.41"
"Voucher entries","Simple voucher match","ERROR","2023-02-21T16:32:43.587+08:00[Asia/Shanghai]","0.0","67.18"
"Voucher entries","Release retention partial","ERROR","2023-02-21T16:33:51.547+08:00[Asia/Shanghai]","0.0","147.97"
"Voucher entries","Partial matching with rounded tax amount","ERROR","2023-02-21T16:36:20.379+08:00[Asia/Shanghai]","0.0","71.48"
"Voucher entries","Voucher entry with tax rate rounded","SUCCESS","2023-02-21T16:37:32.639+08:00[Asia/Shanghai]","0.0","176.16"
"Voucher entries","Voucher matching","ERROR","2023-02-21T16:40:29.631+08:00[Asia/Shanghai]","0.0","73.01"
"Voucher entries","Voucher entry export CSV file","ERROR","2023-02-21T16:41:43.424+08:00[Asia/Shanghai]","0.0","260.97"
"Voucher entries","Creating voucher entry","SUCCESS","2023-02-21T16:46:05.225+08:00[Asia/Shanghai]","0.0","139.27"
"Voucher entries","Release retention adding a line","SUCCESS","2023-02-21T16:48:25.307+08:00[Asia/Shanghai]","0.0","206.88"
